Name,Date Created,Due Date,Status,Type
Format problem set in LaTeX,"September 26, 2021 1:17 PM","September 26, 2021",Done 🙌,
Read Kaufman 2014,"September 26, 2021 1:17 PM","September 27, 2021",Done 🙌,
Information theory lectures,"August 30, 2021 7:15 AM","September 27, 2021",Done 🙌,
Participation Assessment,"September 26, 2021 1:12 PM","September 28, 2021",Done 🙌,
Make slides for lab meeting,"September 26, 2021 1:19 PM","September 29, 2021",Done 🙌,
Problem Set #2,"September 26, 2021 1:12 PM","September 30, 2021",Done 🙌,
Problem Set #3,"October 5, 2021 11:15 AM","October 7, 2021",Done 🙌,
Ask for recommendations,"October 12, 2021 11:13 AM","October 12, 2021",Done 🙌,
Citi RCR training,"October 5, 2021 11:13 AM","October 12, 2021",Done 🙌,
Problem Set #4,"October 12, 2021 11:12 AM","October 19, 2021",Done 🙌,
Grocery Shop,"November 6, 2021 2:20 PM","November 6, 2021",Done 🙌,
Outline NDSEG Essay,"November 6, 2021 2:07 PM","November 8, 2021",Done 🙌,
Early v. Late Pursuit Plots,"November 6, 2021 1:43 PM","November 8, 2021",Done 🙌,
Early v. Late Fixation Plots,"November 6, 2021 1:42 PM","November 8, 2021",Done 🙌,
Problem Set #5,"November 6, 2021 1:42 PM","November 11, 2021",Done 🙌,
Read SCABBY Paper,"November 6, 2021 1:44 PM","November 12, 2021",Done 🙌,
Brain Bag,"November 22, 2021 1:04 PM","November 22, 2021",Done 🙌,
Call optometrist,"November 22, 2021 1:00 PM","November 22, 2021",Done 🙌,
"Brainstorm analyses ","November 22, 2021 1:00 PM","November 23, 2021",Done 🙌,
Problem Set #6,"November 22, 2021 1:00 PM","November 23, 2021",Done 🙌,
Pack for Thanksgiving,"November 22, 2021 1:00 PM","November 24, 2021",Done 🙌,
GitHub Notion Backup Stuff,"November 6, 2021 1:43 PM","November 26, 2021",Done 🙌,
Send out 3 when2meets,"November 22, 2021 1:05 PM","December 30, 2021",Done 🙌,
Call xfinity,"November 22, 2021 12:59 PM","December 30, 2021",Done 🙌,
Pick Lab Meeting paper,"November 22, 2021 12:58 PM","December 30, 2021",Done 🙌,
Set up Trello workspaces for NISO,"January 19, 2022 10:51 AM","January 19, 2022",Done 🙌,NISO
Draft update email to the faculty for NISO,"January 19, 2022 10:56 AM","January 21, 2022",Done 🙌,NISO
Reach out to CNBC Colliquium subcommittee,"December 30, 2021 12:30 PM","January 21, 2022",To Do,CNBC
Read Kandel Ch. 1 & 2,"January 19, 2022 10:54 AM","January 25, 2022",Today,Class
"Plan an executive board social event ","January 20, 2022 11:36 PM","January 28, 2022",Done 🙌,NISO
NCAA Forms,"October 5, 2021 11:13 AM",,Done 🙌,
Ask Patrick about holidays,"September 1, 2021 1:28 PM",,Done 🙌,
Wrap wedding gift,"September 1, 2021 1:27 PM",,Done 🙌,
Send Gabe your notes for cog neuro,"September 1, 2021 1:27 PM",,Done 🙌,
Forward emails to GSA contistuents,"September 1, 2021 1:25 PM",,Done 🙌,
Email Beck w/ Progress,"September 1, 2021 1:24 PM",,Done 🙌,
Insurance payments,"August 31, 2021 11:22 AM",,Done 🙌,
CNBC When2Meet,"August 30, 2021 10:06 AM",,Done 🙌,
Send nudge to Dr. Sussillo,"August 24, 2021 2:29 PM",,Done 🙌,
Tell Adam you sent email to Sussillo,"August 18, 2021 1:41 AM",,Done 🙌,
Send GSA email,"August 18, 2021 1:40 AM",,Done 🙌,
Enroll in Health Insurance,"August 18, 2021 1:39 AM",,Done 🙌,
Send invite to David Sussillo,"August 10, 2021 10:00 AM",,Done 🙌,
Email Melissa about GSA,"August 4, 2021 5:11 PM",,Done 🙌,
Read SCABBY,"July 24, 2021 1:10 PM",,Done 🙌,
"Create google invite for milestone ","July 24, 2021 1:09 PM",,Done 🙌,
Submit SFN abstract,"July 15, 2021 10:55 AM",,Done 🙌,
TPDA Award Application (Due: August 9),"July 13, 2021 10:40 AM",,Done 🙌,
Send planning email to committee,"June 30, 2021 12:26 PM",,Done 🙌,
ChukoskieMovshon-2009,"June 30, 2021 12:22 PM",,Done 🙌,
NMA pre-course materials,"June 28, 2021 9:12 AM",,Done 🙌,
Make PPT slides,"June 28, 2021 9:06 AM",,Done 🙌,
SFN membership,"June 28, 2021 9:03 AM",,Done 🙌,
Write abstract draft (Due July 15th),"June 24, 2021 11:36 AM",,Done 🙌,
GhoseMaunsell-2002,"June 24, 2021 11:36 AM",,Done 🙌,
New Task,"June 24, 2021 11:34 AM",,,
,"June 24, 2021 11:34 AM",,,